user_id,username,published_at,views_count,is_retweeted,is_quoted,likes,content,collected_at,SourceFile
1388926601212178437,cllr_tim,2024-05-01 17:36:43+00,3046.0,f,f,13,Hectic day @_InnovationZero but feeling energised by great speakers and opportunities to make connections to drive green initiatives forward @MidSuffolk. Also really good to catch up with @natalieben. #foodsecurity #ChangeEverything https://t.co/rIZhkpTbFM,2024-05-25 06:00:14.548248+00,Croatia
16596200,natalieben,2024-05-01 10:19:23+00,1370.0,f,f,21,Arriving now @INN0VATI0NZER0   Speaking at noon on food and farming - focusing on #FoodSecurity #CropDiversity and small farms. And ending #FactoryFarming https://t.co/M5xeZniWIq,2024-05-25 06:00:14.850958+00,Croatia
1212755181718228994,HFI1995,2020-03-08 11:01:55+00,,f,f,6,Our #FoodSecurity programme helps improve the lives of #women in villages and strengthen society   #InternationalWomensDay https://t.co/ibCB00ug2j,2024-05-25 00:16:19.592223+00,Croatia
2294938093,ggonzzalezz,2020-03-07 17:05:20+00,,f,f,21,How will we feed future generations in the context of #climatechange ?    #agriculture -including #forestry #fisheries #livestock -generates around 5th of #greenhouse gas emissions.   See how we help transforming those sectors 2 achieve #foodsecurity 4 all https://t.co/Ej1J2S0Qsv https://t.co/3F8vyXey0T,2024-05-25 00:16:20.75622+00,Croatia
24880242,soheilsh,2020-03-05 14:55:30+00,,f,t,5,#ClimateChange effects on #labor through #foodsecurity,2024-05-25 00:16:24.485841+00,Croatia
1212755181718228994,HFI1995,2020-03-05 11:10:39+00,,f,f,13,Providing #food rations to vulnerable villages feeds them for a few days. Helping them to #farm and earn an income provides longer term #FoodSecurity https://t.co/D4aLb04873,2024-05-25 00:16:25.495762+00,Croatia
2191097182,robdvet,2020-03-05 09:41:36+00,,f,f,2,@aptrickett @Bovidiva You’re spot but problem is time lag between winning votes today (via wallets and stomachs) and food inflation due to lack of #foodsecurity is several parliaments: @neil_parish @_RobbieMoore this needs attention now not 20yrs as by then will be too late! #backbritishfarming,2024-05-25 00:16:26.556042+00,Croatia
41359434,MCY1X,2020-03-03 20:47:56+00,,f,t,0,"That’s fine, as long as those calling for it are the last to get any rations and if we run out of food, then they have to go without.  #SelfSufficient #FoodSecurity",2024-05-25 00:16:31.828072+00,Croatia
1212755181718228994,HFI1995,2020-03-02 07:53:07+00,,f,f,12,This weekend members of @humanityfirstuk attended an event on #IvoryCoast organised by @diaspora_civ_uk and showcased our work including #water #foodsecurity #health and the planned new #hospital in Yopougon https://t.co/7GeBH6ss84,2024-05-25 00:16:36.059334+00,Croatia
1861483333,THEnorthcott,2020-03-01 14:03:03+00,,f,t,3,Well said Now go tell him no farmers no food No UK farmers no control of standards and welfare  #FoodSecurity,2024-05-25 00:16:37.224531+00,Croatia
590066227,Cbambara1,2020-03-01 08:17:21+00,,f,t,0,"#Agriculture and #livestock are accelerators for African growth, especially in achieving #FoodSecurity #sdg2",2024-05-25 00:16:44.79325+00,Croatia
2769994652,JCSvenning,2020-02-27 11:05:40+00,,f,f,6,Interesting presentation by @DetlefvanVuuren on integrating climate &amp; land-use scenarios - one take-home is that possible scenarios where positive effects on #biodiversity &amp; #climate jointly w no negative effect on #foodsecurity exist #WorldBiodiversityForum https://t.co/2qgrVkHyOO,2024-05-25 00:16:47.973851+00,Croatia
2294367866,KrkljusBrothers,2020-02-25 22:06:53+00,,f,f,2,#foodsecurity će doći na red... A biće kasno...,2024-05-25 00:16:48.999907+00,Croatia
20053410,inoagrafioti,2020-02-25 20:39:53+00,,f,f,2,.@InzeDirk Trust and fund the #science : we need new technologies in order to solve our global #foodsecurity problems. https://t.co/wLf5OXMpKd,2024-05-25 00:16:50.033865+00,Croatia
526589681,wolfsonfdn,2020-02-25 10:05:13+00,,f,t,1,Congratulations to @StirUni for recognition of the Wolfson-supported @IoAStirling in the @QAPrizes. #aquaculture #foodsecurity #science,2024-05-25 00:16:51.735247+00,Croatia
116385296,SimoneFilippini,2020-02-25 08:57:14+00,,f,f,3,In #Congo majority of people working in small scale agriculture are women! Strengthening &amp; growing (sustainable) agriculture offers crucial opportunity to contribute to #SDG5 #genderequality while leading to #foodsafety &amp; #foodsecurity #GrowCongoForum2020 #GrowCongo #SDG2 #SDG10 https://t.co/Fjexgla32L,2024-05-25 00:16:53.068531+00,Croatia
1212755181718228994,HFI1995,2020-02-23 19:56:28+00,,f,f,11,The Humanity First #FoodSecurity program is empowering #women and helping lift #farming communities in rural areas out of #poverty https://t.co/19H1tRjQLP,2024-05-25 00:16:57.466516+00,Croatia
1212755181718228994,HFI1995,2020-02-22 17:45:15+00,,f,f,2,Our #FoodSecurity programme is supporting #farming communities across #Africa https://t.co/Iy6vGXaltf,2024-05-25 00:16:58.933051+00,Croatia
2294938093,ggonzzalezz,2020-02-21 16:36:41+00,,f,f,37,#biodiversity is also a family affair: With my daughter  preparing in #Rome for our  #Biodiversity2020  Biodiversity for #food and #agriculture is indispensable to #foodsecurity and #sustainable #development   https://t.co/9z01g4fJY9 @AdamRogers2030 @DrLumala @VisualPersist https://t.co/wjOZXkSKld,2024-05-25 00:17:15.556367+00,Croatia
2831551063,NorwayUNRome,2020-02-21 12:32:52+00,,f,f,24,Small-scale #fisheries in Africa contributes significantly to #foodsecurity and sustainable livelihoods. That’s why #Norway now partner with @FAOfish to empower women in #Ghana #Malawi #Tanzania #SierraLeone &amp; #Uganda in post-harvest fisheries. #ConsistentPartner @FAOUganda https://t.co/Wxmv6emSW0,2024-05-25 00:17:16.579409+00,Croatia
1161736332,Adampreslar,2020-02-21 12:09:33+00,,f,t,1,Agriculture banks of genetic diversity #foodsecurity,2024-05-25 00:17:17.531981+00,Croatia
3343091542,MarshalPapworth,2020-02-21 08:58:51+00,,f,t,2,Report from @FAO indicates the extent of #foodsecurity and #malnutrition issues in Eastern &amp; Central #Africa. We know that our #agricultural #development scholarships scholarship alumni are doing so much to help combat this and we'll have another case study soon!,2024-05-25 00:17:19.574376+00,Croatia
3117693730,elena_cadel,2020-02-20 12:00:03+00,,f,f,1,"@dopjp #foodsecurity in a nutshell: a plate with sufficient, safe and nutritious food @foodjournalfest #FoodFest20 https://t.co/Ltmvcd9MXW",2024-05-25 00:17:20.579849+00,Croatia
357477771,TJPirzada,2020-02-16 02:01:15+00,,f,f,0,One doesn’t appreciate the impact of these tiny little creatures on the food security of the planet https://t.co/uavHJzchvp via @truthout #bumblebee #GlobalWarming #foodsecurity,2024-05-25 00:17:22.575544+00,Croatia
1140437481621508096,RugeBoris,2020-02-14 16:49:06+00,,f,f,42,"Our 1st  ever #MSC #townhall on #foodsecurity - great participants, great discussion: Core #security matter linked to #climate change &amp; conflict. @MunSecConf will continue to work on these issues. Thanks to all participants &amp; to our wonderful townhall #team https://t.co/EcUiZa4QOP",2024-05-25 00:17:24.550702+00,Croatia
2981532652,PaulTJBaker,2020-02-14 15:18:05+00,,f,t,0,#FoodHygiene #SmallBusiness #foodindustry #foodsecurity,2024-05-25 00:17:25.573783+00,Croatia
1664661823,BUGeography,2020-02-13 14:25:04+00,,f,f,7,#DXX3601 Food Geography and Innovation students getting comfy in @M_SParc listening to @BangorUni graduate and current PhD student Luke Tyler talking about #hydroponics and #verticalfarming as part of a new @MenterMon project  #Geography #foodsecurity https://t.co/AQGuiWhxLm,2024-05-25 00:17:27.620527+00,Croatia
1161736332,Adampreslar,2020-02-13 11:34:08+00,,f,t,5,We are the people who make the schedule ;-) @HazelTechUSA #foodsecurity @avocado,2024-05-25 00:17:28.831903+00,Croatia
1131987092538626048,TendoSystems,2020-02-11 22:29:20+00,,f,f,0,ETI Thermapen Blue.  #bluetooth #foodsafety #Thermometer Securely transmits data to a #HACCP App on your smartphone.  #northernirelandfood #foodmanufacturing #foodprep #foodtech #chef #restaurant @FSAinNI #foodindustry #foodsecurity  https://t.co/iH84VGvLRy,2024-05-25 00:17:30.969977+00,Croatia
2498871378,greenbeltsal,2020-02-10 13:30:12+00,,f,f,0,#FebruaryFillDyke !! #FebruaryFillFields more like  Worrying thing seem to be #flowing the wrong way #BackingUp #StormCiaraUk  @essexpeasant @NFUtweets  #FoodSecurity taking the back seat to protect the #BuiltEnvironment https://t.co/J34yUnM44U,2024-05-25 00:17:46.585334+00,Croatia
1359389862,EdibleEstate,2020-02-10 11:18:52+00,,f,f,4,Eyeing up the egg box of ‘chitting’ @ArkGlobeAcademy ‘Charlotte’ #seed #potatoes and #Oca perennial #tubers before they sprout eyes &amp; start staring back! ... #foodsecurity #GYO #CommunityGardening #HousingEstates  #London 🌱 https://t.co/oax58c4tKW,2024-05-25 00:17:47.449528+00,Croatia
1058341005198610432,CouparAnd,2020-02-07 17:07:19+00,,f,f,2,#seedswap @CouparAnd @AbcBeyond #seedsovereignty #seed #heritage #gyo  #Foodsecurity #food https://t.co/MbbNIT8EoW,2024-05-25 00:17:50.287667+00,Croatia
2203804504,aslak_brun,2020-02-06 18:51:17+00,,f,f,8,A pleasure to meet ⁦@ThanawatTiensin⁩ at @NorwayUNRome⁩ this week to discuss #foodsecurity issues &amp; the revitalization of ⁦@UN_CFS⁩ ⁦@ChrisHegadorn⁩ https://t.co/QP7qnDc94N,2024-05-25 00:17:52.394012+00,Croatia
4555747337,KeeleILAS,2020-02-05 19:06:19+00,,f,f,1,"Already looking forward to @ProfTimLang's next book, 'Feeding Britain'.  As made clear in this evening's brilliant lecture, it is truly one of the #GrandChallenges that we face in a post-Brexit world. #FoodPolicy #FoodSecurity #TimLang https://t.co/9G630h8eQy",2024-05-25 00:17:53.262774+00,Croatia
4555747337,KeeleILAS,2020-02-05 18:15:24+00,,f,f,0,@ProfTimLang What do we mean by 'food security'? UK is 17th out of 113 countries according to EU Global Security Index but lower when you factor in sustainability. #GrandChallenges #FoodPolicy #FoodSecurity #TimLang https://t.co/p5Is4i7OSA,2024-05-25 00:17:54.238456+00,Croatia
2190120602,FSCluster,2020-02-05 13:52:58+00,,f,t,0,#Foodsecurity for healthy and active lives,2024-05-25 00:17:55.206753+00,Croatia
16932403,zimbaboy,2020-02-05 05:59:50+00,,f,f,3,"My hero, the water harvesting innovator. #waterharvesting #SoilHealth #agriculture #agroecology #farmers #farmwork #Africa #foodsecurity #foodsovereignty https://t.co/geO4AZKCPU",2024-05-25 00:17:57.027074+00,Croatia
